=====measurements=====
|t|ch1|ch2|ch3|ch4|ch5|ch6|
7751, 5.16,1023.00
7783, 5.16,1023.00
7819, 5.16,1023.00
7855, 4.92,976.00
7891, 4.60,912.00
7926, 4.27,847.00
7961, 3.87,767.00
7998, 3.58,709.00
8033, 3.38,670.00
8066, 3.22,639.00
8101, 3.17,628.00
8136, 3.09,612.00
8171, 3.04,603.00
8206, 3.04,602.00
8241, 3.04,602.00
8279, 3.04,603.00
8311, 3.04,603.00
8348, 3.06,606.00
8381, 3.10,614.00
8416, 3.13,620.00
8451, 3.14,623.00
8486, 3.17,628.00
